Roll_No,Group_No,Project_Category,Programming_Experience,Prior_PBL_Course,Pre_SE1,Pre_SE2,Pre_SE3,Pre_SE4,Pre_SE5,Pre_SE6,Pre_SE7,Pre_SE8,Pre_SE9,Pre_SE10,Pre_SE_Mean,Pre_PK1_Correct,Pre_PK2_Correct,Pre_PK3_Correct,Pre_PK4_Correct,Pre_PK5_Correct,Pre_PK_Total
H079,1,A,Advanced,Yes,3,3,3,3,3,3,3,3,3,3,3.0,0,1,0,0,1,2
H082,1,A,Intermediate,No,2,3,3,3,2,3,3,2,2,3,2.6,0,0,1,0,1,2
H084,1,A,Intermediate,No,3,3,3,3,4,3,3,3,3,3,3.1,0,0,1,0,1,2
H004,2,B,Intermediate,No,4,3,3,3,3,3,3,4,3,3,3.2,0,0,0,0,0,0
H028,2,B,Basic,No,2,3,3,3,2,2,3,2,2,2,2.4,0,0,1,0,0,1
H031,2,B,Basic,No,2,3,3,2,3,2,3,2,3,2,2.5,0,0,0,0,1,1
H009,3,A,Basic,No,3,3,3,3,3,3,3,3,2,3,2.9,1,0,1,0,0,2
H012,3,A,,No,3,3,3,3,2,3,3,3,3,2,2.8,0,0,1,0,1,2
H033,3,A,,No,3,3,3,3,3,3,3,3,2,3,2.9,0,0,0,0,0,0
H014,4,D,Intermediate,Yes,3,2,3,3,2,3,3,3,2,3,2.7,1,0,0,0,0,1
H015,4,D,Basic,No,3,3,3,3,3,4,3,3,3,3,3.1,0,0,1,0,1,2
H016,4,D,Advanced,Yes,3,3,3,3,3,4,3,3,3,3,3.1,1,0,1,0,1,3
H025,4,D,Intermediate,No,3,3,3,3,3,3,3,3,2,3,2.9,0,0,1,0,1,2
H003,5,A,,Yes,3,4,3,3,3,3,3,3,3,4,3.2,1,0,1,0,0,2
H006,5,A,Basic,No,3,3,3,3,3,3,3,3,3,3,3.0,1,0,1,1,1,4
H024,5,A,Basic,No,3,3,3,2,2,2,3,3,3,3,2.7,1,0,1,1,0,3
H029,5,A,Advanced,No,3,3,3,3,3,3,3,3,3,3,3.0,0,0,1,0,1,2
H001,6,B,Basic,No,3,3,2,2,3,2,2,3,3,3,2.6,0,0,1,0,1,2
H002,6,B,Intermediate,Yes,3,3,3,3,3,4,3,3,3,3,3.1,1,0,1,1,1,4
H021,7,A,Advanced,No,3,3,3,3,3,3,3,3,3,2,2.9,0,0,1,0,1,2
H022,7,A,Advanced,No,3,3,3,2,3,3,3,3,3,2,2.8,0,1,0,0,0,1
H023,7,A,Basic,No,3,2,2,3,3,3,3,3,3,2,2.7,0,0,1,0,1,2
H059,8,C,,No,3,3,3,4,3,3,3,3,3,4,3.2,0,1,1,1,1,4
H060,8,C,Basic,No,3,3,3,3,3,3,3,2,3,3,2.9,1,0,1,0,1,3
H062,8,C,,No,3,3,3,2,3,3,3,3,3,2,2.8,0,0,1,0,1,2
H035,9,B,Basic,No,3,3,3,3,3,2,3,3,3,2,2.8,0,0,1,0,0,1
H040,9,B,Intermediate,No,3,3,3,3,3,3,3,3,3,3,3.0,0,0,0,0,0,0
H046,9,B,Advanced,No,3,3,3,3,3,3,3,3,3,3,3.0,0,0,1,0,1,2
H047,9,B,Intermediate,No,3,3,3,3,3,3,3,3,3,3,3.0,0,0,1,0,1,2
H036,10,E,Intermediate,No,3,3,3,3,3,3,3,3,3,3,3.0,0,0,1,0,1,2
H050,10,E,Basic,No,3,4,3,3,3,3,4,4,4,4,3.5,0,0,1,0,1,2
H051,10,E,Intermediate,No,3,3,3,3,3,2,3,2,3,3,2.8,1,0,1,0,1,3
H052,10,E,Intermediate,No,3,3,2,3,2,3,3,3,3,3,2.8,0,0,1,0,1,2
H020,11,E,Intermediate,No,2,3,3,3,3,2,3,2,3,3,2.7,0,0,1,0,1,2
H096,11,E,Advanced,No,3,3,3,3,3,3,3,3,4,3,3.1,0,0,1,0,1,2
H076,12,A,Basic,No,4,3,3,3,4,3,3,3,3,3,3.2,0,0,1,0,0,1
H078,12,A,,Yes,3,3,3,3,3,3,2,3,3,3,2.9,0,0,1,0,0,1
H088,12,A,Basic,No,3,2,2,3,3,3,3,2,3,3,2.7,0,0,1,0,1,2
H068,13,D,Basic,Yes,2,3,2,3,3,3,3,3,2,3,2.7,0,1,0,0,1,2
H071,13,D,Advanced,Yes,3,3,3,4,3,3,3,3,3,3,3.1,0,0,1,0,0,1
H086,13,D,Basic,No,3,3,3,3,3,4,3,3,3,3,3.1,0,0,1,0,1,2
H097,13,D,Intermediate,No,3,3,3,3,3,3,3,3,3,3,3.0,0,1,1,0,1,3
H093,14,C,Intermediate,No,2,2,2,3,3,3,3,3,3,3,2.7,0,0,1,0,0,1
H095,14,C,Basic,Yes,3,3,3,3,3,3,3,3,3,3,3.0,1,0,1,0,0,2
