Roll_No,Group_No,Project_Category,Programming_Experience,Prior_PBL_Course,Pre_SE1,Post_SE1,Pre_SE2,Post_SE2,Pre_SE3,Post_SE3,Pre_SE4,Post_SE4,Pre_SE5,Post_SE5,Pre_SE6,Post_SE6,Pre_SE7,Post_SE7,Pre_SE8,Post_SE8,Pre_SE9,Post_SE9,Pre_SE10,Post_SE10,Pre_SE_Mean,Post_SE_Mean,SE_Gain,Pre_PK1_Correct,Post_PK1_Correct,Pre_PK2_Correct,Post_PK2_Correct,Pre_PK3_Correct,Post_PK3_Correct,Pre_PK4_Correct,Post_PK4_Correct,Pre_PK5_Correct,Post_PK5_Correct,Pre_PK_Total,Post_PK_Total,PK_Gain,Hake_g,PBL1,PBL2,PBL3,PBL4,PBL5,PBL6,PBL7,PBL8,PBL9,PBL10,PBL_Value_Mean,PBL_Scaffold_Mean,PBL_Overall_Mean,PBL_Total_Mean,AI_Tools_Used,AI_Phases,AI_Purposes,AI_Derivation_No_AI_Pct,AI_Helped_Learning,OE1_Theme,OE2_Theme,OE3_Theme
H079,1,A,Advanced,Yes,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,3.0,3.7,0.7,0,1,1,0,0,1,0,1,1,1,2,4,2,0.667,4,4,3,4,4,4,4,4,4,4,3.667,4.0,4.0,3.9,"ChatGPT, Claude",Phase 3 + Phase 4,"Understanding concepts, Debugging code",75-100%,Mostly helped,Debugging complex dynamic models,"Less documentation, more coding time",Seeing the physical model work in simulation
H082,1,A,Intermediate,No,2,4,3,3,3,3,3,4,2,3,3,4,3,4,2,4,2,3,3,4,2.6,3.6,1.0,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,4,4,4,4,4,4,4,4,4,3,4.0,4.0,3.667,3.9,,,,75-100%,Did not use AI,Other reflections,"Less documentation, more coding time",Linking math derivation to simulation output
H084,1,A,Intermediate,No,3,3,3,3,3,4,3,3,4,4,3,4,3,4,3,3,3,4,3,3,3.1,3.5,0.4,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,3,3,3,3,4,3,3,4,3,3,3.0,3.25,3.333,3.2,,,,75-100%,Did not use AI,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Understanding PID tuning from first principles
H004,2,B,Intermediate,No,4,4,3,4,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,3.2,3.7,0.5,0,0,0,0,0,1,0,0,0,1,0,2,2,0.4,3,4,3,4,3,4,4,4,4,4,3.333,3.75,4.0,3.7,,,,75-100%,Did not use AI,Debugging complex dynamic models,Other reflections,Understanding PID tuning from first principles
H028,2,B,Basic,No,2,5,3,4,3,5,3,5,2,5,2,4,3,4,2,5,2,5,2,5,2.4,4.7,2.3,0,0,0,0,1,1,0,0,0,0,1,1,0,0.0,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,"ChatGPT, Claude",Phase 3 + Phase 4,"Deriving equations, Writing Python code",25-50%,Mostly helped,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Understanding PID tuning from first principles
H031,2,B,Basic,No,2,4,3,3,3,4,2,4,3,3,2,3,3,3,2,3,3,3,2,4,2.5,3.4,0.9,0,1,0,0,0,1,0,1,1,1,1,4,3,0.75,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,ChatGPT,Phase 3 + Phase 4,"Understanding concepts, Debugging code",50-75%,Mostly helped,Debugging complex dynamic models,Smaller group sizes (2-3 members),Linking math derivation to simulation output
H009,3,A,Basic,No,3,5,3,4,3,4,3,5,3,5,3,5,3,4,3,4,2,4,3,4,2.9,4.4,1.5,1,0,0,0,1,1,0,1,0,1,2,3,1,0.333,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,ChatGPT,Phase 2 only,Writing Python code,50-75%,Mostly helped,Other reflections,"Less documentation, more coding time",Other reflections
H012,3,A,,No,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2.8,3.0,0.2,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,4,3,4,4,4,3,4,4,4,4,3.667,3.75,4.0,3.8,Claude,Phase 3 (Simulation),Writing Python code,75-100%,Mostly helped,Team collaboration and problem distribution,Other reflections,Understanding PID tuning from first principles
H033,3,A,,No,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3,4,2,4,3,4,2.9,3.7,0.8,0,0,0,0,0,1,0,0,0,1,0,2,2,0.4,3,4,4,3,3,3,4,3,4,4,3.667,3.25,3.667,3.5,ChatGPT,All phases,"Creating simulation plots, Writing report",50-75%,Mostly helped,Team collaboration and problem distribution,Other reflections,Seeing the physical model work in simulation
H014,4,D,Intermediate,Yes,3,4,2,4,3,4,3,4,2,4,3,4,3,4,3,4,2,4,3,4,2.7,4.0,1.3,1,0,0,0,0,1,0,0,0,1,1,2,1,0.25,3,3,3,4,4,3,3,4,3,4,3.0,3.5,3.667,3.4,Other,Phase 3 (Simulation),"Checking algebra, Writing Python code",50-75%,Mixed,Mathematical validation of simulation results,Smaller group sizes (2-3 members),Seeing the physical model work in simulation
H015,4,D,Basic,No,3,4,3,5,3,4,3,4,3,4,4,4,3,4,3,4,3,5,3,4,3.1,4.2,1.1,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,4,4,3,4,3,4,4,4,4,4,3.667,3.75,4.0,3.8,,,,75-100%,Did not use AI,Mathematical validation of simulation results,"Less documentation, more coding time",Seeing the physical model work in simulation
H016,4,D,Advanced,Yes,3,4,3,4,3,4,3,4,3,4,4,4,3,5,3,4,3,5,3,5,3.1,4.3,1.2,1,1,0,1,1,1,0,1,1,1,3,5,2,1.0,4,4,4,3,4,4,4,4,4,4,4.0,3.75,4.0,3.9,"ChatGPT, GitHub Copilot",Phase 2 only,"Creating simulation plots, Writing report",75-100%,Mostly helped,Team collaboration and problem distribution,"Less documentation, more coding time",Linking math derivation to simulation output
H025,4,D,Intermediate,No,3,5,3,4,3,5,3,4,3,5,3,4,3,4,3,4,2,4,3,4,2.9,4.3,1.4,0,0,0,0,1,1,0,1,1,1,2,3,1,0.333,4,4,4,4,4,4,4,5,4,4,4.0,4.0,4.333,4.1,ChatGPT,All phases,"Understanding concepts, Debugging code",25-50%,Mostly helped,Other reflections,Other reflections,Linking math derivation to simulation output
H003,5,A,,Yes,3,4,4,3,3,4,3,4,3,4,3,4,3,3,3,4,3,4,4,3,3.2,3.7,0.5,1,1,0,0,1,1,0,1,0,1,2,4,2,0.667,5,4,4,4,4,4,4,4,4,4,4.333,4.0,4.0,4.1,"ChatGPT, GitHub Copilot",Phase 2 + Phase 3,"Deriving equations, Writing Python code",25-50%,Mostly helped,Other reflections,Smaller group sizes (2-3 members),Linking math derivation to simulation output
